grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,n_d,n_a,n_steps
7,4,2.477740408538224,1.2452796697616577,1.2372866868972778,8,18,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0007_fold4,1.2372866868972778,2.367551326751709,1.5386849342057356,0.6414302587509155,35.461464,TabNetRegressor,8,64,3
7,5,2.4723559764706766,1.2227332592010498,1.2224040031433105,10,20,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0007_fold5,1.2224040031433105,2.363677740097046,1.5374256860404818,0.6778131723403931,34.453846,TabNetRegressor,8,64,3
8,1,2.428706550313616,1.2915916442871094,1.2791972160339355,25,35,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0008_fold1,1.2791972160339355,2.547832727432251,1.5961931986549283,0.6662924289703369,36.16218,TabNetRegressor,8,64,5
8,2,2.54523793616406,1.2526874542236328,1.23262357711792,13,23,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0008_fold2,1.23262357711792,2.379298686981201,1.5424975484522498,0.6726894378662109,34.27345,TabNetRegressor,8,64,5
8,3,2.4679667438082182,1.2379846572875977,1.2318017482757568,15,25,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0008_fold3,1.2318017482757568,2.4023611545562744,1.5499552105000565,0.6700351238250732,32.975136,TabNetRegressor,8,64,5
8,4,2.5409117848242433,1.246262550354004,1.2370755672454834,16,26,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0008_fold4,1.2370755672454834,2.3599867820739746,1.536224847499211,0.6425759196281433,34.95999,TabNetRegressor,8,64,5
8,5,2.538300856899088,1.2433927059173584,1.2199654579162598,9,19,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0008_fold5,1.2199654579162598,2.3779656887054443,1.5420653970261586,0.6758655309677124,34.81096,TabNetRegressor,8,64,5
9,1,2.4439299888215853,1.3192200660705566,1.2810897827148438,12,22,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0009_fold1,1.2810897827148438,2.6057183742523193,1.6142237683333496,0.6587107181549072,37.805374,TabNetRegressor,8,64,7
9,2,2.520179131162978,1.2547982931137085,1.2363173961639404,22,32,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0009_fold2,1.2363173961639404,2.3685929775238037,1.5390233843330008,0.6741621494293213,33.839085,TabNetRegressor,8,64,7
9,3,2.4800230031322017,1.2374956607818604,1.2321763038635254,27,37,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0009_fold3,1.2321763038635254,2.4423704147338867,1.5628085022592777,0.6645398139953613,34.884483,TabNetRegressor,8,64,7
