grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,hidden_features,dropout,activation
11,1,1.5004417709450224,1.4796464618514567,1.4710363640504724,81,91,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0011_fold1.pt,1.4702434539794922,5.213971138000488,2.2834121699773102,0.3170895576477051,39.69984,SimpleMLP,128,0.3,Tanh
11,2,1.4979489330035538,1.4515643435366012,1.4396419577738817,62,72,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0011_fold2.pt,1.4480425119400024,4.917243957519531,2.2174859543003946,0.32355445623397827,38.268272,SimpleMLP,128,0.3,Tanh
11,3,1.5052271930139456,1.4215038979754728,1.4215038979754728,100,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0011_fold3.pt,1.4279347658157349,4.599255561828613,2.144587503887079,0.36829107999801636,39.31519,SimpleMLP,128,0.3,Tanh
11,4,1.5239968130837624,1.4808197862961714,1.4064402299768783,78,88,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0011_fold4.pt,1.4079872369766235,4.279393672943115,2.0686695417449146,0.35187846422195435,37.84341,SimpleMLP,128,0.3,Tanh
11,5,1.5114975616113464,1.4165438273373772,1.40989188061041,94,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0011_fold5.pt,1.4187802076339722,4.671381950378418,2.161338000031096,0.3632557988166809,40.404366,SimpleMLP,128,0.3,Tanh
12,1,1.5320379244747446,1.5099009485805737,1.486963170416215,91,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0012_fold1.pt,1.5095330476760864,5.645314693450928,2.375987098755153,0.2605934143066406,38.481853,SimpleMLP,128,0.4,Tanh
12,2,1.5522902848115607,1.489362136406057,1.4843779942568611,56,66,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0012_fold2.pt,1.4936155080795288,5.485929489135742,2.3422061158522625,0.24532264471054077,38.037533,SimpleMLP,128,0.4,Tanh
12,3,1.5204183201291668,1.460655861041125,1.4478593398542965,81,91,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0012_fold3.pt,1.4542709589004517,5.024613857269287,2.2415650464060346,0.30986809730529785,38.314182,SimpleMLP,128,0.4,Tanh
12,4,1.5391521444961207,1.4245154647266163,1.4214397633776945,90,100,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0012_fold4.pt,1.4239370822906494,4.452649116516113,2.110130118385147,0.3256385922431946,37.13836,SimpleMLP,128,0.4,Tanh
12,5,1.5157821356360592,1.4315991892534143,1.4242451857118046,97,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0012_fold5.pt,1.4329968690872192,4.841275691986084,2.200289910894945,0.3400980830192566,37.882797,SimpleMLP,128,0.4,Tanh
13,1,1.3332910502134865,1.3560020572998945,1.3488187123747433,42,52,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0013_fold1.pt,1.3459748029708862,3.007530689239502,1.7342233677469294,0.606082558631897,38.062756,SimpleMLP,256,0.2,ReLU
13,2,1.3336815273583824,1.2915806402178371,1.2829110797713785,49,59,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0013_fold2.pt,1.2887029647827148,2.681610345840454,1.6375623181547792,0.6311016082763672,35.34194,SimpleMLP,256,0.2,ReLU
13,3,1.3227079911018484,1.3032366686007555,1.2644346794661354,57,67,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0013_fold3.pt,1.2707890272140503,2.571274518966675,1.6035194164607658,0.6468348503112793,37.29156,SimpleMLP,256,0.2,ReLU
13,4,1.3329397644569625,1.2887370691579931,1.2809507776709164,67,77,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0013_fold4.pt,1.2829657793045044,2.6095025539398193,1.6153954791133407,0.6047863960266113,34.5163,SimpleMLP,256,0.2,ReLU
13,5,1.320244424378694,1.2566286956562716,1.2430910433039946,67,77,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0013_fold5.pt,1.2450493574142456,2.4754226207733154,1.5733475842207645,0.6625814437866211,37.13343,SimpleMLP,256,0.2,ReLU
