grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,d_model,n_heads,num_layers
12,1,1.5110983510515583,1.5402043005999397,1.5035222558414234,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0012_fold1.pt,1.5039174556732178,5.492420673370361,2.3435914049531674,0.2806190252304077,41.875763,SimpleTabTransformer,128,2,3
12,2,1.8477333250330454,1.8675375545726103,1.799290418624878,1,11,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0012_fold2.pt,1.8077183961868286,6.653031826019287,2.5793471705102604,0.08476907014846802,60.897552,SimpleTabTransformer,128,2,3
12,3,1.8451085250769088,1.8911604986471289,1.5374674060765434,8,18,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0012_fold3.pt,1.5459266901016235,6.2966389656066895,2.5093104562023987,0.1351550817489624,40.282104,SimpleTabTransformer,128,2,3
12,4,1.8606558193021745,1.833927084417904,1.4884966699516071,14,24,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0012_fold4.pt,1.4896615743637085,5.261796474456787,2.293860604844328,0.20309191942214966,39.495464,SimpleTabTransformer,128,2,3
12,5,1.8437999958422646,1.8831960804322188,1.7791569828987122,8,18,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0012_fold5.pt,1.778130054473877,6.993409156799316,2.644505465450831,0.046746253967285156,56.29986,SimpleTabTransformer,128,2,3
13,1,1.2383016837176992,1.2990186424816357,1.2818820616778206,48,58,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0013_fold1.pt,1.2778722047805786,2.6616785526275635,1.6314651551987138,0.651381254196167,36.520073,SimpleTabTransformer,128,4,1
13,2,1.2630097216634608,1.2601101819206686,1.2321156859397888,33,43,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0013_fold2.pt,1.2375996112823486,2.4675047397613525,1.5708293159224374,0.6605552434921265,34.00335,SimpleTabTransformer,128,4,1
13,3,1.2528365067581633,1.2615909997154684,1.247340137467665,31,41,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0013_fold3.pt,1.2535320520401,2.520625352859497,1.5876477420572541,0.6537915468215942,37.375458,SimpleTabTransformer,128,4,1
13,4,1.2577433256960626,1.338722264065462,1.2634851196232963,30,40,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0013_fold4.pt,1.260388731956482,2.5454177856445312,1.5954365501782048,0.6144921183586121,35.609623,SimpleTabTransformer,128,4,1
13,5,1.2612044126240176,1.2918660886147444,1.245909736436956,24,34,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0013_fold5.pt,1.245686650276184,2.54176926612854,1.5942927165763945,0.6535378694534302,39.07305,SimpleTabTransformer,128,4,1
14,1,1.2526282690354247,1.3230586928479813,1.2841473081532646,40,50,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0014_fold1.pt,1.2804381847381592,2.605827569961548,1.614257590956768,0.6586964130401611,37.271492,SimpleTabTransformer,128,4,2
14,2,1.265939498570428,1.2442176184233498,1.2309133585761576,40,50,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0014_fold2.pt,1.2365102767944336,2.4872376918792725,1.5770978701016853,0.6578406691551208,34.183918,SimpleTabTransformer,128,4,2
14,3,1.2563349915974176,1.2772149496218737,1.2530428591896505,37,47,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0014_fold3.pt,1.2608349323272705,2.5630898475646973,1.6009652861835253,0.6479589939117432,38.108562,SimpleTabTransformer,128,4,2
